'Key','Item Type','Publication Year','Author','Title','Publication Title','ISBN','ISSN','DOI','Url','Abstract Note','Date','Date Added','Date Modified','Access Date','Pages','Num Pages','Issue','Volume','Number Of Volumes','Journal Abbreviation','Short Title','Series','Series Number','Series Text','Series Title','Publisher','Place','Language','Rights','Type','Archive','Archive Location','Library Catalog','Call Number','Extra','Notes','File Attachments','Link Attachments','Manual Tags','Automatic Tags','Editor','Series Editor','Translator','Contributor','Attorney Agent','Book Author','Cast Member','Commenter','Composer','Cosponsor','Counsel','Interviewer','Producer','Recipient','Reviewed Author','Scriptwriter','Words By','Guest','Number','Edition','Running Time','Scale','Medium','Artwork Size','Filing Date','Application Number','Assignee','Issuing Authority','Country','Meeting Name','Conference Name','Court','References','Reporter','Legal Status','Priority Numbers','Programming Language','Version','System','Code','Code Number','Section','Session','Committee','History','Legislative Body'
'4IZYK2MS','journalArticle',2017,'Romansky; Radi','a Survey on Digital World Opportunities and Challenges for UserS Privacy','International Journal on Information Technologies and Security',,'1313-8251',,,'This paper is a summary on the opportunities of the contemporary digital environments and proposed services in the network world and discusses some important challenges for the users privacy and security. The cyber security and personal data protection are important themes discussed in different levels; including European Commission; US Department of Homeland Security; corporative boards; etc. In this reason; the article presents the main obligations of the administrators; data controllers; data processors; service providers; etc. for protection of the users personal data and privacy. The discussion is made in the frame of digital world opportunities as e-services; e-governance; e-learning; cloud and social computing; Internet of Things (IoT); Machine to Machine communications (M2M); etc. A summary of the main challenges of digital spaces which could disturb the users privacy is made and an organizational structure of System for ISM  (SISM) is proposed.',2017,'2018-11-29 12:53:08','2018-11-29 12:53:08',,'97–112',,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'PR25S78E','conferencePaper',2017,'Sirisom; Pongsak; Payakpate; Janjira; Wongthai; Winai','A system design for the measurement and evaluation of the communications security domain in ISO 27001:2013 using an ontology','Lecture Notes in Electrical Engineering','978-981-10-4153-2',,'10.1007/978-981-10-4154-9_30',,'This paper presents a system design using the design and linking semantic technology of ontologies by mapping the structure base and finding identical meanings of each text. The Wu and Palmer method and WordNet database were used for this purpose. The accuracy of the results of the concept are measured by using Recall; Precision; and F-Measure. Then; the proposed designed can be used to developed tools to qualify the security system for communications security domain under the standards of ISM  for ISO 27001:2013. However; the cost of certification to organisations to meet international standards is considerable. Our intention was to demonstrate the ontology-based concept for organisations to be able to reduce their certification costs by waiving the requirement for an external consultant to evaluate their standards and policies.',2017,'2018-11-29 12:53:08','2018-11-29 12:53:08',,'257–265',,,424,,,,'Lecture Notes in Electrical Engineering',,,,'ICatse',,,,,,,,,,,,,'ISO 27001:2013; Ontology mapping; Similarity comparison on ontology',,'Kim; K and Joukov; N',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'FCKTGTDU','journalArticle',2015,'Nazareth; Derek L.; Choi; Jae','A system dynamics model for ISM ','Information and Management',,'03787206','10.1016/j.im.2014.10.009',,'Managing security for information assets is a critically important and challenging task. As organizations provide clients with ubiquitous access to information systems and the frequency and sophistication of security threats grows; the need to provide security assumes greater importance. Effective ISM  requires security resources be deployed on multiple fronts; including attack prevention; vulnerability reduction; and threat deterrence. Using a system dynamics model; this study evaluates alternative security management strategies through an investment and security cost lens; to provide managers guidance for security decisions. The results suggest that investing in security detection tools has a higher payoff than does deterrence investment.','2015-01','2018-11-29 12:53:09','2018-11-29 12:53:09',,'123–134',,1,52,,,,,,,,,,,,,,,,,,,,,'ISM ; Simulation; System dynamics; Security investment decisions',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'GLUIKAI2','conferencePaper',2016,'Irshad; Mohammad','A Systematic Review of InformationSecurity  Frameworks in the Internet of Things','Proceedings of 2016 Ieee 18Th International Conference on High Performance Computing and Communications; Ieee 14Th International Conference on Smart City; Ieee 2Nd International Conference on Data Science and Systems (Hpcc/Smartcity/Dss)','978-1-5090-4297-5',,'10.1109/HPCC-SmartCity-DSS.2016.51',,'By 2020; it is estimated that the number of connected devices is expected to grow exponentially to 50 billion. Internet of things has gained extensive attention; the deployment of sensors; actuators are increasing at a rapid pace around the world. There is tremendous scope for more streamlined living through an increase of smart services; but this coincides with an increase in security and privacy concerns. There is a need to perform a systematic review of InformationSecurity  governance frameworks in the Internet of things (IoT). Objective - The aim of this paper to evaluate systematic review of ISM  frameworks which are related to the Internet of things (IoT). It will also discuss different InformationSecurity  frameworks that cover IoT models and deployments across different verticals. These frameworks are classified according to the area of the framework; the security executives and senior management of any enterprise that plans to start using smart services needs to define a clear governance strategy concerning the security of their assets; this system review will help them to make a better decision for their investment for secure IoT deployments. Method - A set of standard criteria has been established to analyze which security framework will be the best fit among these classified security structures in particularly for Internet of Things (IoT). The first step to evaluate security framework by using standard criteria methodology is to identify resources; the security framework for IoT is selected to be assessed according to CCS. The second step is to develop a set of Security Targets (ST). The ST is the set of criteria to apply for the target of evaluation (TOE). The third step is data extraction; fourth step data synthesis; and final step is to write-up study as a report. Conclusion - After reviewing four InformationSecurity  risk frameworks; this study makes some suggestions related to InformationSecurity  risk governance in Internet of Things (IoT). The organizations that have decided to move to smart devices have to define the benefits and risks and deployment processes to manage security risk. The InformationSecurity  risk policies should comply with an organizations InformationTechnology policies and standards to protect the confidentiality; integrity and availability of InformationSecurity . The study observes some of the main processes that are needed to manage security risks. Moreover; the paper also drew attention on some suggestions that may assist companies which are associated with the InformationSecurity  framework in Internet of things (IoT).',2016,'2018-11-29 12:53:10','2018-11-29 12:53:10',,'1270–1275',,,,,,,,,,,'IEEE; IEEE Comp Soc; IEEE Tech Comm Scalable Comp; Univ Technol Sydney',,,,,,,,,,,,,,,'Chen; J and Yang; LT',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'LZVDEREG','conferencePaper',2010,'Pardo; César; Pino; Francisco J.; García; Félix; Piattini; Mario; Baldassarre; Maria Teresa','A systematic review on the harmonization of reference models','International Conference on Evaluation of Novel Approaches to Software Engineering','978-989-8425-21-8',,,'http://www.scopus.com/inward/record.url?eid=2-s2.0-78751469967&partnerID=40&md5=2e9740bc6f54019d0d219e74dfbd9ac9','At present; there are wide ranges of reference models that are available to improve the way to develop and manage the software development in an organization; e.g. there are models to improve quality management; such as ISO 9001; for Software Quality Management there is ISO 90003; to improve the capacity of models there are CMMI and ISO 12207; for the InformationTechnology Governance; there are InformationTechnologyIL; PMBOK and COBIT;  ISM such as 27000 and Bodies of Knowledge such as SWEBOK; amongst others. However; the heterogeneity of the models available; together with the need to solve problems from many dimensions and organizational hierarchies; means that organizations face problems in improvement process projects which have to deal with different models at the same time. In this article; a systematic review is presented of works; initiatives and projects published and carried out on the harmonization of multi-model environments. Another objective stemming from the above is to discuss the significant issues related to this area of knowledge; providing an up-to-date state of the art and identifying possible related research streams.',2010,'2018-11-29 12:53:10','2018-11-29 12:53:10',,'40–47',,,,,,,,,,,,,,,,,,,,,,,,,,'Loucopoulos; P and Maciaszek; L',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'XKY4P7ID','conferencePaper',2005,'Bia\las; A.','A UML approach in the ISMS implementation','IFIP Advances in Information and Communication Technology','0-387-29826-6',,,,'The paper deals with the modelling of the  ISM  (ISMS). The ISMS; based on the PDCA (Plan-Do-Check-Act) model; was defined in the BS7799-2:2002 standard. The general model of the ISMS was presented. The paper focuses on the Plan stage elaboration only; basing on the previously identified ISMS business environment. The UML approach allows to achieve more consistent and efficient implementations of the ISMS; supported by the computer tools. The paper shows the possibility of the UML use in the InformationSecurity  domain.',2005,'2018-11-29 12:53:11','2018-11-29 12:53:11',,'285–297',,,193,,,,'INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING',,,,'IFIP TC 11 WG 11 1; IFIP TC 11 WG 11 5',,,,,,,,,,,,,,,'Dowland; P and Furnell; S and Thuraisingham; B and Wang; XS',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4MNQG6W7','journalArticle',2018,'Stewart; Andrew','A utilitarian re-examination of enterprise-scale ISM ','Information and Computer Security',,'2056497X','10.1108/ICS-03-2017-0012',,'; Emerald Publishing Limited. Purpose: An action is utilitarian when it is both useful and practical. This paper aims to examine a number of traditional ISM  practices to ascertain their utility. That analysis is performed according to the particular set of challenges and requirements experienced by very large organizations. Examples of such organizations include multinational corporations; the governments of large nations and global investment banks. Design/methodology/approach: The author performs a gap analysis of a number of security management practices. The examination is focused on the question of whether these practices are both useful and practical when used within very large organizations. Findings: The author identifies a number of ISM  practices that are considered to be “best practice” in the general case but that are suboptimal at the margin represented by very large organizations. A number of alternative management practices are proposed that compensate for the identified weaknesses. Originality/value: Quoting from the conclusion of the paper: We have seen in our analysis within this paper that some best practices can experience what economists refer to as diminishing marginal utility. As the target organization drifts from the typical use-case the amount of value-added declines and can potentially enter negative territory. We have also examined the degree of innovation in the practice of security management and the extent to which the literature can support practical; real-world activities. In both the areas; we have identified a number of opportunities to perform further work.',2018,'2018-11-29 12:53:11','2018-11-29 12:53:11',,'39–57',,1,26,,,,,,,,,,,,,,,,,,,,,'InformationSecurity ; ISO/IEC 27001; Management; BS7799; Security management frameworks; Spending',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8VLEZSBB','conferencePaper',2015,'Kurowski; Sebastian; Litwing; Richard; Lückemeyer; Gero','A view on ISO/IEC 27001 compliant identity lifecycles for InformationTechnology service providers','2015 World Congress on Internet Security; WorldCIS 2015','978-1-908320-50-6',,'10.1109/WorldCIS.2015.7359420',,'—This work aims at providing guidance on the challenges of complex identity lifecycle management in organizations; especially in customer oriented InformationTechnology service providers. By providing a view on necessary requirements and potential processes which may contribute to enforcing identity lifecycle management; even in a multi-organization setting; we reduce the complexity of identity lifecycle management. We build upon the identity lifecycle and refine the areas of provisioning; de-provisioning and auditing by using the mechanisms depicted in the ISO/IEC 27002. By including previous less refined contributions on ISM  in InformationTechnology service management along with the current version of the InformationTechnology Infrastructure Library (ITIL) v3 update 2011; we provide guidance on the required tasks and the contribution of InformationTechnology service management to identity lifecycle management. Additionally; we find missing aspects which require additional implementation efforts for organizations which have adopted InformationTechnology service management. These missing mechanisms are mainly identified in the lifecycle phases of usage and de-provisioning of an identity.',2015,'2018-11-29 12:53:12','2018-11-29 12:53:12',,'85–90',,,,,,,'World Congress on Internet Security',,,,,,,,,,,,,,,,,'Confidentiality; InformationTechnologyIL; Accountability; Economics in Security; Identity Lifecycle; Identity Management; InformationTechnology Service Management',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6WB926F3','journalArticle',2013,'Ou Yang; Yu Ping; Shieh; How Ming; Tzeng; Gwo Hshiung','A VIKOR technique based on DEMA? and ANP for InformationSecurity  risk control assessment','Information Sciences',,'00200255','10.1016/j.ins.2011.09.012',,'As companies and organizations have grown to rely on their computer systems and networks; the issue of ISM  has become more significant. To maintain their competitiveness; enterprises should safeguard their information and try to eliminate the risk of information being compromised or reduce this risk to an acceptable level. This paper proposes an InformationSecurity  risk-control assessment model that could improve InformationSecurity  for these companies and organizations. We propose an MCDM model combining VIKOR; DEMA?; and ANP to solve the problem of conflicting criteria that show dependence and feedback. In addition; an empirical application of evaluating the risk controls is used to illustrate the proposed method. The results show that our proposed method can be effective in helping InformationTechnology managers validate the effectiveness of their risk controls. ',2013,'2018-11-29 12:53:13','2018-11-29 12:53:13',,'482–500',,,232,,,,,,,,,,,,,,,,,'PMID: 26592090',,,,'InformationSecurity ; Multiple criteria decision making (MCDM); VIKOR; Analytic network process (ANP); DEMA?; Risk control assessment',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'P6MVSGCT','journalArticle',2009,'OU YANG; YU-PING; SHIEH; HOW-MING; LEU; JUN-DER; TZENG; GWO-HSHIUNG','a Vikor-Based Multiple Criteria Decision Method for Improving InformationSecurity  Risk','International Journal of   informationTechnology  & Decision Making',,'0219-6220','10.1142/S0219622009003375','http://www.worldscientific.com/doi/abs/10.1142/S0219622009003375','Most multicriteria methods focus on ranking and selecting from a set of alternatives. These methods are usually used to compare all alternatives based on the synthesized scorings within a normalized scale with respect to the same criteria in multicriteria problems. However; the decision makers often simultaneously manage one or several alternatives/projects with conflicting and noncommensurable criteria to reduce the gaps to achieve the aspired grade in practice. They then need to rank the gaps that have not been reduced or improved (the unimproved gaps) for the alternatives/projects or aspects of a project to get the most benefit. Because these compared alternatives/projects do not usually have the same criteria/aspects; traditional methods are unsuitable to deal with them. Thus; this research proposes a new VIKOR method to solve this problem; this new method allows the decision maker to understand these gaps of the projects/aspects and rank them to improve these large gaps in control items to achieve the aspired level. Its concept originates in compromise solutions; in particular the VIKOR method. In addition; this research also provides an example of improving InformationSecurity  risk to demonstrate the suitability of this new method. The results show the effectiveness of the new method.','2009-06','2018-11-29 12:53:13','2018-11-29 12:53:13',,'267–287',,'02','08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'YZKKTGLY','conferencePaper',2005,'Sengupta; Anirban; Mukhopadhyay; Aniruddha; Ray; Koel; Roy; Aveek Guha; Aich; Dipankar; Barik; Mridul Sankar','A web-enabled enterprise security management framework based on a unified model of enterprise information system security','Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)','3-540-30706-0',,'10.1007/11593980_26',,'This paper presents an ongoing research project that is a sequel to an earlier work on the Development of Enterprise ISM  (EISM) Tool Suite for different stages like Requirement and Risk Analysis; Policy Development; Infrastructure Advisory Generation; and Testing of the Security Engineering Life Cycle. The present project attempts to develop a set of web-based ISM  services using web-service technologies. The study also aims at developing a unified formal model of Enterprise Information System Security and suitable metrics for its measurement. ',2005,'2018-11-29 12:53:14','2018-11-29 12:53:14',,'328–331',,,'3803 LNCS',,,,'Lecture Notes in Computer Science',,,,'George Mason Univ; Ctr Secure Informat Syst; Jadavpur Univ; Ctr Distributed Comp; Birla Inst Technol; INDO US Sci & Technol Forum; USN; Off Naval Res Global',,,,,,,,,,,,,,,'Jajodia; S and Mazumdar; C',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6EQ42ERY','journalArticle',2015,'Bamakan; Seyed Mojtaba Hosseini; Dehghanimohammadabadi; Mohammad','A Weighted Monte Carlo Simulation Approach to Risk Assessment of  ISM ','International Journal of Enterprise Information Systems',,'1548-1115','10.4018/IJEIS.2015100103','http://services.igi-global.com/resolvedoi/resolve.aspx?doi=10.4018/IJEIS.2015100103','In recent decades; information has become a critical asset to various organizations; hence identifying and preventing the loss of information are becoming competitive advantages for firms. Many international standards have been developed to help organizations to maintain their competitiveness by applying risk assessment and  ISM  and keep risk level as low as possible. This study aims to propose a new quantitative risk analysis and assessment methodology which is based on AHP and Monte Carlo simulation. In this method; AHP is used to create favorable weights for Confidentiality; Integrity and Availability (CIA) as security characteristic of any information asset. To deal with the uncertain nature of vulnerabilities and threats; Monte Carlo simulation is utilized to handle the stochastic nature of risk assessment by taking into account multiple judges opinions. The proposed methodology is suitable for organizations that require risk analysis to implement ISO/IEC 27001 standard.',2015,'2018-11-29 12:53:14','2018-11-29 12:53:14',,'63–78',,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'28SEYIHY','conferencePaper',2010,'Fahey; Albert. J; Thorne; Barbara B; Zeissler; Mitchell F','Accommodating High-Volume Experimental Data from Scientific Equipment while Maintaining Security and Regulatory Compliance in a Moderate Size Diverse Collaborative Environment','Imcic 2010: International Multi-Conference on Complexity; Informatics and Cybernetics; Vol Ii','978-1-934272-88-6',,,,'The Surface and Microanalysis Science Division (SMSD) of the National Institute of Science and Technology (NIST) performs research with surface-oriented and microscopy related instruments. The work spans a range of applications from semiconductors and electronics; to biological and medical; from nano-materials to aerosols and particles. This article discusses the implementation of a network-connected system of computers designed to accommodate high speed access to large data sets (gigabytes to terabytes) yet allow the end-users (scientists) the tools along with the flexibility and freedom they need to perform their work. It was assembled at modest cost for a division of approximate to 60 staff and approximate to 200 computers. The system is highly automated; simple to understand and service and can be managed and maintained by a relatively small staff. In addition; the implemented system is secure; allows regular automated software updates; allows configuration changes; and conforms to Federal ISM  Act (FISMA) requirements {[}1]. The system incorporates and accommodates various operating systems and attempts to consolidate as many administrative tasks as possible under the management of centralized servers.',2010,'2018-11-29 12:53:15','2018-11-29 12:53:15',,'357–361',,,,,,,,,,,'Int Inst Informat & Syst',,,,,,,,,,,,,'hyperspectral datasets; scientific computing; US F',,'Callaos; N and Chu; HW and Krittaphol; W and Lesso; W and Savoie; MJ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4LJA9LU9','conferencePaper',2007,'Ridgway; John','Achieving safety through security management','The Safety of Systems - Proceedings of the 15th Safety-Critical Systems Symposium; SSS 2007','1-84628-805-3',,'10.1007/978-1-84628-806-7-1',,'Whilst the achievement of safety objectives may not be possible purely through the administration of an effective  ISM  (ISMS); your job as safety manager will be significantly eased if such a system is in place. This paper seeks to illustrate the point by drawing a comparison between two of the prominent standards within the two disciplines of security and safety management.',2007,'2018-11-29 12:53:16','2018-11-29 12:53:16',,'3–20',,,,,,,,,,,,,,,,,,,,,,,,,,'Redmill; F and Anderson; T',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6TNJS68V','conferencePaper',2007,'Tsohou; Aggeliki; Theoharidou; Marianthi; Kokolakis; Spyros','Addressing Cultural Dissimilarity in the Information','Trust; Privacy and Security in Digital Business Lecture Notes in Computer Science','978-3-540-74408-5',,'10.1007/978-3-540-74409-2_5','http://dx.doi.org/10.1007/978-3-540-74409-2_5','The shape of animal cells is; to a large extent; determined by the cortical actin network that underlies the cell membrane. Because of the presence of myosin motors; the actin cortex is under tension; and local relaxation of this tension can result in cortical flows that lead to deformation and polarization of the cell. Cortex relaxation is often regulated by polarizing signals; but the cortex can also rupture and relax spontaneously. A similar tension-induced polarization is observed in actin gels growing around beads; and we propose that a common mechanism governs actin gel rupture in both systems.',2007,'2018-11-29 12:53:16','2018-11-29 12:53:16',,'24–33',,,4657,,,,'Lecture Notes in Computer Science',,,,,,,,,,,,,,,,,'ISM  outsourcing; organizational',,'Lambrinoudakis; C and Pernul; G and Tjoa; AM',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5EKHHGHI','conferencePaper',2016,'Skopak; Anis; Sakanovic; Semir','Adoption of Standard for InformationSecurity  Iso/Iec 27001 in Bosnia and Herzegovina','International Conference on Economic and Social Studies (Icesos16): Regional Economic Development: Entrepneurship and Innovation',,,,,'When it comes to security; no company in the world can be too cautious. Many companies own and use different systems for protection of data and information from intentional or non-intentional loss; unauthorized access; or abuse. However; the legal aspects of InformationSecurity  systems are well known in order for system to be internationally accepted and adopted. Because of this; the standard ISO/IEC 27001; which ensures positioning in relation to competition through marketing usage of this certificate; fulfills all requirements of the client for InformationSecurity ; reducing the risks associated with information relevant for the organization; reducing operating costs for the prevention of complaints and other incidents; and optimization of the process because the tasks in the organization are clearly defined and understood. ISO/IEC 27001 process of certification is carried out by a certification body that is accredited by schemes that are under the supervision of the IAF (International Accreditation Forum); as only these certificates are a guarantee of global standard acceptance. This study has examined the surveys of twenty (20) large companies; whose scope guarantees the suitability to this standard; and explored the way of implementation; and more importantly that the certification companies in Bosnia and Herzegovina offer this feature. In the end we compared the results of this study with the results from the region and the world.',2016,'2018-11-29 12:53:17','2018-11-29 12:53:17',,'35–42',,,,,,,,,,,,,,,,,,,,,,,,,,'Obralic; M and Mekic; E',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'EB3987MQ','journalArticle',2014,'Park; Sanghyun; Lee; Kyungho','Advanced approach to  ISM  model for industrial control system','Scientific World Journal',,'1537744X','10.1155/2014/348305',,'\textlessp\textgreaterOrganizations make use of important information in day-to-day business. Protecting sensitive information is imperative and must be managed. Companies in many parts of the world protect sensitive information using the international standard known as the  ISM  (ISMS). ISO 27000 series is the international standard ISMS used to protect confidentiality; integrity; and availability of sensitive information. While an ISMS based on ISO 27000 series has no particular flaws for general information systems; it is unfit to manage sensitive information for industrial control systems (ICSs) because the first priority of industrial control is safety of the system. Therefore; a new  ISM  based on confidentiality; integrity; and availability as well as safety is required for ICSs. This new ISMS must be mutually exclusive of an ICS. This paper provides a new paradigm of ISMS for ICSs; which will be shown to be more suitable than the existing ISMS.\textless/p\textgreater',2014,'2018-11-29 12:53:17','2018-11-29 12:53:17',,,,,2014,,,,,,,,,,,,,,,,,'PMID: 25136659',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'HI63NKT3','journalArticle',2018,'You; Youngin; Oh; Junhyoung; Kim; Sooheon; Lee; Kyungho','Advanced approach to  ISM  utilizing maturity models in critical infrastructure','KSII Transactions on Internet and Information Systems',,19767277,'10.3837/tiis.2018.10.020','http://itiis.org/digital-library/manuscript/2155','As the area covered by the CPS grows wider; agencies such as public institutions and critical infrastructure are collectively measuring and evaluating InformationSecurity  capabilities. Currently; these methods of measuring InformationSecurity  are a concrete method of recommendation in related standards. However; the security controls used in these methods are lacking in connectivity; causing silo effect. In order to solve this problem; there has been an attempt to study the  ISM  in terms of maturity. However; to the best of our knowledge; no research has considered the specific definitions of each level that measures organizational security maturity or specific methods and criteria for constructing such levels. This study developed an InformationSecurity  maturity model that can measure and manage the InformationSecurity  capability of critical infrastructure based on information provided by an expert critical infrastructure information protection group. The proposed model is simulated using the thermal power sector in critical infrastructure of the Republic of Korea to confirm the possibility of its application to the field and derive core security processes and goals that constitute infrastructure security maturity. The findings will be useful for future research or practical application of infrastructure  ISM .',2018,'2018-11-29 12:53:18','2018-11-29 12:53:18',,'4995–5014',,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'VSML9KXI','journalArticle',2011,'Jo; Heasuk; Kim; Seungjoo; Won; Dongho','Advanced ISM  evaluation system','KSII Transactions on Internet and Information Systems',,19767277,'10.3837/tiis.2011.06.006',,' ISM  are used to manage information about their customers and themselves by governments or business organizations following advances in e-commerce; open networks; mobile networks; and Internet banking. This paper explains the existing  ISM  and presents a comparative analysis. The discussion deals with different types of  ISM . We addressed issues within the existing  ISM  via analysis. Based on these analyses; then we proposes the development of an ISM  evaluation system (ISMES). The method can be applied by a self-evaluation of the organization and an evaluation of the organization by the evaluation committee. The contribution of this study enables an organization to refer to and improve its InformationSecurity  levels. The case study can also provide a business organization with an easy method to build ISMS and the reduce cost of InformationSecurity  evaluation.','2011-06','2018-11-29 12:53:18','2018-11-29 12:53:18',,'1192–1213',,6,5,,,,,,,,,,,,,,,,,,,,,'InformationSecurity  check; InformationSecurity  evaluation; InformationSecurity  evaluation process;  ISM ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'W5S4AQGW','journalArticle',2006,'Doherty; Neil F.; Fulford; Heather','Aligning the InformationSecurity  policy with the strategic information systems plan','Computers and Security',,'01674048','10.1016/j.cose.2005.09.009',,'Two of the most important documents for ensuring the effective deployment of information systems and technologies within the modern business enterprise are the strategic information systems plan (SISP) and the InformationSecurity  policy. The strategic information systems plan ensures that new systems and technologies are deployed in a way that will support an organisations strategic goals whilst the InformationSecurity  policy provides a framework to ensure that systems are developed and operated in a secure manner. To date; the literature with regard to the formulation of the InformationSecurity  policy has tended to ignore its important relationship with the strategic information systems plan; and vice versa. In this paper we argue that these two important policy documents should be explicitly and carefully aligned to ensure that the outcomes of strategically important information system initiatives are not compromised by problems with their security. ',2006,'2018-11-29 12:53:19','2018-11-29 12:53:19',,'55–63',,1,25,,,,,,,,,,,,,,,,,,,,,'ISM ; InformationSecurity  policy; Alignment; Components; Planning; Security breaches; Strategic information systems',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6RAMVKWL','journalArticle',2016,'You; Youngin; Cho; Inhyun; Lee; Kyungho','An advanced approach to security measurement system','Journal of Supercomputing',,15730484,'10.1007/s11227-015-1585-7',,'The importance of InformationSecurity  has increased gradually. Initially; the notion of InformationSecurity  was limited to only a few areas. Now; it has expanded to cover a variety of areas. For example; critical infrastructure facilities such as power plants are operated online using industrial control systems so that the facilities are exposed to cyber threats. This is also the case with the other fields that are operated online. Each field requires appropriate ISM . Thus; this paper proposes an advanced security measurement system that reflects the characteristics of each field to achieve effective ISM . ',2016,'2018-11-29 12:53:20','2018-11-29 12:53:20',,'3443–3454',,9,72,,,,,,,,,,,,,,,,,,,,,'ISMS; National infrastructure; Quantitative method; Security measurement',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'BTK5KP59','journalArticle',2010,'Chen; Ying-Pei; Hsieh; Sung-Huai; Cheng; Po-Hsun; Chien; Tsan-Nan; Chen; Heng-Shuen; Luh; Jer-Junn; Lai; Jin-Shin; Lai; Feipei; Chen; Sao-Jie','An Agile Enterprise Regulation Architecture for Health ISM ','Telemedicine and e-Health',,'1530-5627','10.1089/tmj.2010.0023','http://www.liebertonline.com/doi/abs/10.1089/tmj.2010.0023','ISM  for healthcare enterprises is complex as well as mission critical.   informationTechnology  requests from clinical users are of such urgency that the information office should do its best to achieve as many user requests as possible at a high service level using swift security policies. This research proposes the Agile Enterprise Regulation Architecture (AERA) of ISM  for healthcare enterprises to implement as part of the electronic health record process. Survey outcomes and evidential experiences from a sample of medical center users proved that AERA encourages the information officials and enterprise administrators to overcome the challenges faced within an electronically equipped hospital.',2010,'2018-11-29 12:53:20','2018-11-29 12:53:20',,'807–817',,7,16,,,,,,,,,,,,,,,,,'PMID: 20815748',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5WD75G99','conferencePaper',2017,'Alotaibi; Fayez; Clarke; Nathan; Furne; Steven','An Analysis of Home User Security Awareness & Education','2017 12Th International Conference for Internet Technology and Secured Transactions (Icitst)','978-1-908320-93-3',,,,'The human factor is a major consideration in securing systems. People use an increasingly wide range of digital devices such as smartphones; tablets; laptops and smart TVs; with each device having a different operating system; security configurations and threats. This presents users with an unenviable and potentially insurmountable task of securing them. This paper presents an analysis of efforts being made in providing suitable awareness and education with home users. The analysis shows that whilst significant efforts are made; a focus upon a “one-fits-all{”} solution that does not take into account individual users their needs; prior knowledge; learning styles and security priorities results in unnecessary information overload and a need to spend an excessive amount of time reading web-based content that may have little relevance to them specifically. This review indicates that there is a need for an approach that can provide the users with bespoke awareness information. It is recommended that a holistic  ISM  for home users can be proposed and designed which can provide users with bespoke awareness information based on the technologies; applications and services that users use in a manner that is acceptable and timely.',2017,'2018-11-29 12:53:21','2018-11-29 12:53:21',,'116–122',,,,,,,'International Conference for Internet Technology and Secured Transactions',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
